上榜日期,证券号码,证券简称,今日涨幅,买入额（万）,卖出额（万）,净买入（万）, 所属营业部
2025-09-12,601929,吉视传媒,1.0900%,0,5794.26万,-5794.26万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-12,600173,卧龙新能,1.6800%,0,1161.7万,-1161.7万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-12,002809,红墙股份,-1.5900%,262.24万,444.67万,-182.42万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-12,002642,荣联科技,1.3100%,1995.17万,1697.98万,297.19万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-12,000981,山子高科,0.9400%,3454.35万,4846.27万,-1391.91万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-12,603511,爱慕股份,1.8000%,356.04万,0,356.04万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,603370,华新精科,%,471.63万,0,471.63万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,600173,卧龙新能,1.6800%,970.15万,0,970.15万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,301488,豪恩汽电,1.2000%,973.91万,1393.02万,-419.1万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,300457,赢合科技,1.2300%,1415.75万,1790.65万,-374.9万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,300139,晓程科技,1.5700%,2998.64万,1471.65万,1526.98万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,002716,湖南白银,1.4900%,663.19万,1652.92万,-989.73万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,920100,三协电机,%,1399.67万,878万,521.66万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-12,603370,华新精科,%,454.59万,0,454.59万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-12,301139,元道通信,2.2700%,759.77万,697.56万,62.2万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-12,603511,爱慕股份,1.8000%,345.97万,0,345.97万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-12,603370,华新精科,%,404.24万,0,404.24万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-12,002642,荣联科技,1.3100%,1977.72万,1031.99万,945.73万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,002115,三维通信,1.0400%,4382.88万,3969.22万,413.66万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-12,603370,华新精科,%,416.99万,0,416.99万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-12,301488,豪恩汽电,1.2000%,1028.96万,1450.06万,-421.1万,东方财富证券股份有限公司拉萨东环路第一证券营业部
2025-09-12,603511,爱慕股份,1.8000%,398.28万,0,398.28万,东方财富证券股份有限公司山南香曲东路证券营业部
2025-09-12,300457,赢合科技,1.2300%,2038.65万,1943.3万,95.35万,东方财富证券股份有限公司山南香曲东路证券营业部
2025-09-11,920100,三协电机,%,1056.39万,1023.52万,32.87万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-11,920088,科力股份,%,251.1万,604.44万,-353.33万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-11,601212,白银有色,%,276.87万,0,276.87万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-11,301248,杰创智能,2.3100%,963.78万,902.68万,61.1万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-11,002467,二六三,0.4600%,3820.63万,1435.09万,2385.53万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-11,000851,*ST高鸿,5.1900%,396.49万,74.17万,322.32万,东方财富证券股份有限公司拉萨团结路第二证券营业部
2025-09-11,603257,中国瑞林,-0.0600%,0,727.48万,-727.48万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,603163,圣晖集成,2.2300%,2242.94万,0,2242.94万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,601212,白银有色,%,264.57万,0,264.57万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,002547,春兴精工,1.7600%,3211.36万,3558.14万,-346.78万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,002467,二六三,0.4600%,4526.55万,2064.84万,2461.7万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,002130,沃尔核材,8.0900%,1286万,2849.09万,-1563.08万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,002115,三维通信,1.0400%,5977.45万,4658.24万,1319.2万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,000851,*ST高鸿,5.1900%,324.4万,100.51万,223.88万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,000809,和展能源,0.0000%,365.49万,300.62万,64.86万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,000524,岭南控股,0.0000%,1382.44万,1107.14万,275.3万,东方财富证券股份有限公司拉萨团结路第一证券营业部
2025-09-11,603709,中源家居,0.7500%,890.51万,0,890.51万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,603285,键邦股份,0.9500%,646.23万,0,646.23万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,301139,元道通信,2.2700%,1785.67万,407.93万,1377.73万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,003036,泰坦股份,5.0200%,410.77万,201.82万,208.94万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,002547,春兴精工,1.7600%,2712.12万,3038.97万,-326.85万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,002467,二六三,0.4600%,4099万,1587.83万,2511.16万,东方财富证券股份有限公司拉萨东环路第二证券营业部
2025-09-11,002181,粤传媒,-1.0900%,2248.71万,1667万,581.71万,东方财富证券股份有限公司拉萨东环路第二证券营业部
