上榜日期,证券号码,证券简称,上榜涨幅,买入额（万）,卖出额（万）,净买入（万）,所属营业部,游资名称
2025-12-22,001330,博纳影业,-10.03%,783.07万,63.44万,719.62万,华泰证券股份有限公司北京西三环国际财经中心证券营业部,成泉系
2025-12-22,301408,华人健康,-9.31%,86.86万,2545.75万,-2458.89万,中国银河证券股份有限公司北京学院南路证券营业部,苏南帮
2025-12-22,002231,*ST奥维,-2.94%,269.05万,60.41万,208.64万,东莞证券股份有限公司四川分公司,苏南帮
2025-12-22,002188,中天服务,-9.91%,883.2万,119.03万,764.16万,东莞证券股份有限公司四川分公司,苏南帮
2025-12-22,002735,王子新材,0.00%,44.57万,2313.89万,-2269.32万,东海证券股份有限公司南京洪武北路证券营业部,苏南帮
2025-12-22,600179,安通控股,10.10%,1788万,0,1788万,中国银河证券股份有限公司宜昌新世纪证券营业部,瑞鹤仙
2025-12-22,300189,神农种业,20.03%,4984.06万,47.01万,4937.04万,中国银河证券股份有限公司宜昌新世纪证券营业部,瑞鹤仙
2025-12-22,920885,星辰科技,8.10%,2864.72万,2499.69万,365.03万,东方财富证券股份有限公司拉萨团结路第二证券营业部,T王
2025-12-22,920092,汉鑫科技,9.13%,307.29万,482.65万,-175.36万,东方财富证券股份有限公司拉萨团结路第二证券营业部,T王
2025-12-22,920091,大鹏工业,3.70%,664.99万,263.49万,401.49万,东方财富证券股份有限公司拉萨团结路第二证券营业部,T王
2025-12-22,301488,豪恩汽电,0.30%,2155.53万,1264.93万,890.59万,东方财富证券股份有限公司拉萨团结路第二证券营业部,T王
2025-12-22,300640,德艺文创,-5.15%,346.91万,1118.15万,-771.23万,东方财富证券股份有限公司拉萨团结路第二证券营业部,T王
2025-12-22,300344,*ST立方,19.63%,200.5万,287.35万,-86.85万,东方财富证券股份有限公司拉萨团结路第二证券营业部,T王
2025-12-22,300189,神农种业,20.03%,1629.82万,1665.59万,-35.77万,东方财富证券股份有限公司拉萨团结路第二证券营业部,T王
2025-12-22,002853,皮阿诺,8.04%,4346.77万,915.84万,3430.92万,东方财富证券股份有限公司拉萨团结路第二证券营业部,T王
2025-12-22,002682,龙洲股份,-9.51%,1520.34万,1023.97万,496.36万,东方财富证券股份有限公司拉萨团结路第二证券营业部,T王
2025-12-22,002231,*ST奥维,-2.94%,260.5万,133.51万,126.99万,东方财富证券股份有限公司拉萨团结路第二证券营业部,T王
2025-12-22,001255,博菲电气,-8.65%,307.98万,146.98万,161万,东方财富证券股份有限公司拉萨团结路第二证券营业部,T王
2025-12-22,920885,星辰科技,8.10%,736.42万,856.7万,-120.27万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,920092,汉鑫科技,9.13%,613.94万,481.23万,132.7万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,920091,大鹏工业,3.70%,391.08万,260.04万,131.04万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,920023,田野股份,29.89%,1037.61万,320.18万,717.42万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,688668,鼎通科技,20.00%,0,1588.36万,-1588.36万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,603023,威帝股份,3.10%,1136.9万,0,1136.9万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,600865,百大集团,5.50%,1480.02万,0,1480.02万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,301488,豪恩汽电,0.30%,1379.25万,1215.13万,164.11万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,300391,*ST长药,20.14%,158.45万,260.78万,-102.33万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,300344,*ST立方,19.63%,99.2万,172.94万,-73.74万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,300342,天银机电,2.45%,3956.36万,1592.2万,2364.16万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,300086,康芝药业,19.96%,967.93万,952.91万,15.01万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,002682,龙洲股份,-9.51%,1508.54万,1482.76万,25.77万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,002666,德联集团,10.04%,110.04万,278.04万,-167.99万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,002238,天威视讯,-9.84%,547.73万,41.11万,506.61万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,001317,三羊马,3.29%,1110.92万,583.49万,527.42万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,001255,博菲电气,-8.65%,397.65万,202.22万,195.42万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,000890,法尔胜,0.17%,2367.68万,1672.8万,694.87万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,000735,罗牛山,9.97%,1900.43万,2669.93万,-769.5万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-12-22,920885,星辰科技,8.10%,4706.72万,3710.55万,996.17万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-12-22,920092,汉鑫科技,9.13%,823.2万,434.8万,388.39万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-12-22,920091,大鹏工业,3.70%,406.67万,233.08万,173.58万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-12-22,688627,精智达,19.96%,0,1.27亿,-1.27亿,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-12-22,603696,安记食品,10.00%,0,1072.46万,-1072.46万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-12-22,603023,威帝股份,3.10%,1129.06万,0,1129.06万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-12-22,600865,百大集团,5.50%,1485.79万,0,1485.79万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-12-22,300344,*ST立方,19.63%,203.98万,286.77万,-82.78万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-12-22,300189,神农种业,20.03%,1639.06万,2269.1万,-630.03万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-12-22,300086,康芝药业,19.96%,1851.1万,1913.74万,-62.63万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-12-22,002231,*ST奥维,-2.94%,282.25万,145.4万,136.84万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-12-22,920091,大鹏工业,3.70%,393.17万,187.71万,205.46万,东方财富证券股份有限公司拉萨东环路第一证券营业部,T王
2025-12-22,300391,*ST长药,20.14%,73.08万,139.39万,-66.3万,东方财富证券股份有限公司拉萨东环路第一证券营业部,T王
2025-12-22,300086,康芝药业,19.96%,1834.73万,2027.7万,-192.96万,东方财富证券股份有限公司拉萨东环路第一证券营业部,T王
2025-12-22,002735,王子新材,0.00%,2233.37万,931.13万,1302.24万,东方财富证券股份有限公司拉萨东环路第一证券营业部,T王
2025-12-22,001317,三羊马,3.29%,1409.93万,555.05万,854.87万,东方财富证券股份有限公司拉萨东环路第一证券营业部,T王
2025-12-22,001255,博菲电气,-8.65%,314.01万,204.61万,109.39万,东方财富证券股份有限公司拉萨东环路第一证券营业部,T王
2025-12-22,000890,法尔胜,0.17%,2194.85万,1716.69万,478.15万,东方财富证券股份有限公司拉萨东环路第一证券营业部,T王
2025-12-22,000572,海马汽车,9.99%,2262.38万,3362.73万,-1100.34万,东方财富证券股份有限公司拉萨东环路第一证券营业部,T王
2025-12-22,920092,汉鑫科技,9.13%,518.62万,256.99万,261.62万,东方财富证券股份有限公司山南香曲东路证券营业部,T王
2025-12-22,920035,精创电气,0.66%,57.3万,292.66万,-235.35万,东方财富证券股份有限公司山南香曲东路证券营业部,T王
2025-12-22,600599,*ST熊猫,4.96%,199.77万,0,199.77万,东方财富证券股份有限公司山南香曲东路证券营业部,T王
2025-12-22,002682,龙洲股份,-9.51%,1462.68万,1484.02万,-21.33万,东方财富证券股份有限公司山南香曲东路证券营业部,T王
2025-12-22,000735,罗牛山,9.97%,952.32万,4661.73万,-3709.4万,东方财富证券股份有限公司山南香曲东路证券营业部,T王
2025-12-22,603679,华体科技,-9.94%,1100.6万,0,1100.6万,中国银河证券股份有限公司绍兴证券营业部,赵老哥
2025-12-22,002361,神剑股份,10.04%,2873.74万,93.57万,2780.16万,中国银河证券股份有限公司绍兴证券营业部,赵老哥
2025-12-22,002228,合兴包装,10.07%,3035.36万,23.73万,3011.63万,中国银河证券股份有限公司绍兴证券营业部,赵老哥
2025-12-22,603829,洛凯股份,-10.01%,455.92万,0,455.92万,华鑫证券有限责任公司上海分公司,量化打板
2025-12-22,002735,王子新材,0.00%,55万,3372.25万,-3317.24万,华鑫证券有限责任公司上海分公司,量化打板
2025-12-22,600515,海南机场,10.06%,2997.74万,0,2997.74万,华鑫证券有限责任公司上海茅台路证券营业部,炒股养家
2025-12-22,688679,通源环境,18.56%,1209.92万,0,1209.92万,华鑫证券有限责任公司上海宛平南路证券营业部,炒股养家
2025-12-22,000735,罗牛山,9.97%,2724.16万,3.01万,2721.14万,华鑫证券有限责任公司上海宛平南路证券营业部,炒股养家
2025-12-22,688720,艾森股份,18.65%,0,1607.8万,-1607.8万,中信证券股份有限公司上海分公司,孙哥
2025-12-22,688668,鼎通科技,20.00%,0,3032.36万,-3032.36万,中信证券股份有限公司上海分公司,孙哥
2025-12-22,603977,国泰集团,9.99%,0,1486.8万,-1486.8万,中信证券股份有限公司上海分公司,孙哥
2025-12-22,603696,安记食品,10.00%,0,1384.8万,-1384.8万,中信证券股份有限公司上海分公司,孙哥
2025-12-22,603679,华体科技,-9.94%,0,2445.85万,-2445.85万,中信证券股份有限公司上海分公司,孙哥
2025-12-22,600865,百大集团,5.50%,0,3510.04万,-3510.04万,中信证券股份有限公司上海分公司,孙哥
2025-12-22,600759,洲际油气,10.15%,0,1559.25万,-1559.25万,中信证券股份有限公司上海分公司,孙哥
2025-12-22,600107,ST尔雅,5.03%,0,307.41万,-307.41万,中信证券股份有限公司上海分公司,孙哥
2025-12-22,000981,山子高科,9.94%,43.38万,3506.09万,-3462.7万,中泰证券股份有限公司深圳科苑南路证券营业部,欢乐海岸
2025-12-22,603023,威帝股份,3.10%,0,1105.1万,-1105.1万,华鑫证券有限责任公司深圳分公司,湖州劳动路
2025-12-22,002792,通宇通讯,9.99%,6814.04万,1.69万,6812.35万,华鑫证券有限责任公司深圳分公司,湖州劳动路
2025-12-22,001317,三羊马,3.29%,1.12万,1615.82万,-1614.69万,华鑫证券有限责任公司深圳分公司,湖州劳动路
2025-12-22,601566,九牧王,-3.18%,0,3943.59万,-3943.59万,国盛证券有限责任公司宁波桑田路证券营业部,宁波桑田路
2025-12-22,002188,中天服务,-9.91%,163.39万,2136.31万,-1972.92万,国盛证券有限责任公司宁波桑田路证券营业部,宁波桑田路
2025-12-22,000572,海马汽车,9.99%,6674.41万,279.12万,6395.28万,国盛证券有限责任公司宁波桑田路证券营业部,宁波桑田路
2025-12-22,001330,博纳影业,-10.03%,642.17万,9.06万,633.1万,华泰证券股份有限公司成都蜀金路证券营业部,葵花宝典
2025-12-22,603300,海南华铁,10.04%,0,2845.64万,-2845.64万,中国国际金融股份有限公司上海分公司,量化基金
2025-12-22,688679,通源环境,18.56%,1532.2万,0,1532.2万,华泰证券股份有限公司总部,量化基金
2025-12-22,603023,威帝股份,3.10%,0,1428.97万,-1428.97万,华泰证券股份有限公司总部,量化基金
2025-12-22,600200,退市苏吴,-8.57%,28万,0,28万,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,徐留胜
2025-12-22,300189,神农种业,20.03%,493.19万,1702.55万,-1209.35万,平安证券股份有限公司深圳分公司,红岭路
2025-12-22,002792,通宇通讯,9.99%,6772.5万,625.24万,6147.26万,平安证券股份有限公司深圳分公司,红岭路
2025-12-22,603696,安记食品,10.00%,1.15亿,0,1.15亿,中国银河证券股份有限公司大连黄河路证券营业部,陈小群
2025-12-22,002792,通宇通讯,9.99%,9052.32万,30.47万,9021.84万,中国银河证券股份有限公司大连黄河路证券营业部,陈小群
2025-12-22,603585,苏利股份,-10.00%,778.77万,0,778.77万,中国银河证券股份有限公司北京中关村大街证券营业部,竞价抢筹
2025-12-22,603023,威帝股份,3.10%,0,1430.47万,-1430.47万,中国银河证券股份有限公司北京中关村大街证券营业部,竞价抢筹
2025-12-22,301408,华人健康,-9.31%,1463.42万,4.84万,1458.58万,中国银河证券股份有限公司北京中关村大街证券营业部,竞价抢筹
2025-12-22,300640,德艺文创,-5.15%,1621.63万,2148.72万,-527.08万,中国银河证券股份有限公司北京中关村大街证券营业部,竞价抢筹
2025-12-22,002853,皮阿诺,8.04%,915.35万,162.76万,752.58万,中国银河证券股份有限公司北京中关村大街证券营业部,竞价抢筹
2025-12-22,300344,*ST立方,19.63%,165.56万,2.88万,162.68万,东莞证券股份有限公司南京分公司,玉兰路
2025-12-22,001336,楚环科技,9.99%,1643.96万,805.67万,838.28万,华鑫证券有限责任公司深圳益田路证券营业部,益田路
2025-12-22,001255,博菲电气,-8.65%,0,679.95万,-679.95万,华鑫证券有限责任公司深圳益田路证券营业部,益田路
2025-12-22,603601,再升科技,4.91%,0,3137.13万,-3137.13万,国投证券股份有限公司西安曲江池南路证券营业部,曲江池
2025-12-22,600250,南京商旅,-10.00%,527.96万,0,527.96万,东北证券股份有限公司武汉香港路证券营业部,六一路
2025-12-22,002735,王子新材,0.00%,166.56万,3696.85万,-3530.28万,华鑫证券有限责任公司杭州分公司 ,南京帮
2025-12-22,301611,珂玛科技,20.00%,1.41亿,1470.5万,1.26亿,中信证券股份有限公司北京总部证券营业部,呼家楼
2025-12-22,301611,珂玛科技,20.00%,4705.68万,128.86万,4576.81万,中信建投证券股份有限公司北京东城分公司,呼家楼
2025-12-22,300391,*ST长药,20.14%,161万,0,161万,东亚前海证券有限责任公司上海分公司,思明南路
2025-12-19,301408,华人健康,5.72%,2932.85万,1742.54万,1190.3万,中国银河证券股份有限公司北京学院南路证券营业部,苏南帮
2025-12-19,603608,天创时尚,10.04%,2493.16万,0,2493.16万,中国银河证券股份有限公司宜昌新世纪证券营业部,瑞鹤仙
2025-12-19,920786,骑士乳业,6.42%,630.56万,681.68万,-51.11万,东方财富证券股份有限公司拉萨团结路第二证券营业部,T王
