日期,上证收盘价,上证涨跌幅,深证收盘价,深证涨跌幅,主力净流入净额,主力净流入净占比,超大单净流入净额,超大单净流入净占比,大单净流入净额,大单净流入净占比,中单净流入净额,中单净流入净占比,小单净流入净额,小单净流入净占比
2026-04-13,3988.56,0.06%,14407.86,0.69%,-195.66,-0.91%,-71.27,-0.33%,-124.39,-0.58%,28.04,0.13%,167.62,0.78%
2026-04-10,3986.22,0.51%,14309.47,2.24%,14.59,0.06%,147.16,0.63%,-132.57,-0.57%,-188.83,-0.81%,174.24,0.75%
2026-04-09,3966.17,-0.72%,13996.27,-0.33%,-582.80,-2.73%,-261.19,-1.22%,-321.61,-1.51%,160.24,0.75%,422.56,1.98%
2026-04-08,3995.00,2.70%,14042.50,4.79%,868.89,3.57%,767.91,3.15%,100.98,0.41%,-480.33,-1.97%,-388.56,-1.60%
2026-04-07,3890.16,0.26%,13400.41,0.36%,-179.14,-1.11%,-9.05,-0.06%,-170.08,-1.05%,-110.22,-0.68%,289.36,1.79%
2026-04-03,3880.10,-1.00%,13352.90,-0.99%,-461.83,-2.79%,-178.61,-1.08%,-283.22,-1.71%,-52.38,-0.32%,514.21,3.10%
2026-04-02,3919.29,-0.74%,13486.94,-1.60%,-864.36,-4.69%,-478.68,-2.60%,-385.68,-2.09%,241.20,1.31%,623.16,3.38%
2026-04-01,3948.55,1.46%,13706.52,1.70%,173.43,0.86%,243.70,1.21%,-70.26,-0.35%,-230.29,-1.14%,56.86,0.28%
2026-03-31,3891.86,-0.80%,13478.06,-1.81%,-835.29,-4.19%,-475.90,-2.39%,-359.38,-1.80%,203.83,1.02%,631.46,3.17%
2026-03-30,3923.29,0.24%,13726.19,-0.25%,-270.70,-1.41%,-109.61,-0.57%,-161.09,-0.84%,58.00,0.30%,212.69,1.11%
2026-03-27,3913.72,0.63%,13760.37,1.13%,131.31,0.71%,150.76,0.81%,-19.44,-0.10%,-147.23,-0.79%,15.91,0.09%
2026-03-26,3889.08,-1.09%,13606.44,-1.41%,-924.20,-4.76%,-491.08,-2.53%,-433.12,-2.23%,208.31,1.07%,715.89,3.68%
2026-03-25,3931.84,1.30%,13801.00,1.95%,214.83,0.99%,241.01,1.11%,-26.18,-0.12%,-229.35,-1.05%,14.52,0.07%
2026-03-24,3881.28,1.78%,13536.56,1.43%,82.89,0.40%,155.98,0.75%,-73.09,-0.35%,-238.96,-1.15%,156.07,0.75%
2026-03-23,3813.28,-3.63%,13345.51,-3.76%,-1253.99,-5.16%,-700.41,-2.88%,-553.58,-2.28%,295.35,1.21%,958.65,3.94%
2026-03-20,3957.05,-1.24%,13866.20,-0.25%,-738.53,-3.23%,-334.23,-1.46%,-404.30,-1.77%,3.52,0.02%,735.01,3.21%
2026-03-19,4006.55,-1.39%,13901.57,-2.02%,-1079.04,-5.11%,-615.43,-2.92%,-463.61,-2.20%,198.48,0.94%,880.57,4.17%
2026-03-18,4062.98,0.32%,14187.80,1.05%,-48.37,-0.24%,96.63,0.47%,-144.99,-0.71%,-220.54,-1.08%,268.91,1.31%
2026-03-17,4049.91,-0.85%,14039.73,-1.87%,-972.01,-4.40%,-535.23,-2.42%,-436.78,-1.98%,169.52,0.77%,802.50,3.63%
2026-03-16,4084.79,-0.26%,14307.58,0.19%,-430.85,-1.85%,-254.46,-1.09%,-176.39,-0.76%,-20.80,-0.09%,451.65,1.94%
2026-03-13,4095.45,-0.81%,14280.78,-0.65%,-774.10,-3.22%,-356.39,-1.48%,-417.70,-1.74%,46.81,0.20%,727.29,3.03%
2026-03-12,4129.10,-0.10%,14374.87,-0.63%,-720.35,-2.95%,-354.59,-1.45%,-365.76,-1.50%,135.72,0.56%,584.63,2.39%
2026-03-11,4133.43,0.25%,14465.41,0.78%,-325.20,-1.30%,-118.08,-0.47%,-207.11,-0.83%,11.26,0.04%,313.94,1.25%
2026-03-10,4123.14,0.65%,14354.07,2.04%,29.30,0.12%,135.20,0.56%,-105.91,-0.44%,-193.46,-0.81%,164.17,0.68%
