日期,融资,融券,合计
2026-02-26,26499.76,170.65,26670.40
2026-02-25,26299.06,167.20,26466.26
2026-02-24,26062.68,164.89,26227.57
2026-02-13,25723.79,157.46,25881.25
2026-02-12,26293.37,162.65,26456.02
2026-02-11,26278.24,166.11,26444.35
2026-02-10,26437.41,167.34,26604.75
2026-02-09,26475.69,168.32,26644.00
2026-02-06,26470.46,166.15,26636.60
2026-02-05,26640.67,167.93,26808.60
2026-02-04,26758.98,169.74,26928.72
2026-02-03,26898.40,167.24,27065.64
2026-02-02,26926.79,164.09,27090.88
2026-01-30,26986.89,165.99,27152.87
2026-01-29,27222.32,171.31,27393.63
2026-01-28,27252.60,173.83,27426.43
2026-01-27,27059.04,174.87,27233.91
2026-01-26,27080.22,174.18,27254.40
2026-01-23,27061.41,173.35,27234.75
2026-01-22,27075.43,173.70,27249.13
2026-01-21,27035.71,174.52,27210.23
2026-01-20,26920.20,173.39,27093.59
2026-01-19,27059.32,172.43,27231.75
2026-01-16,27144.33,171.04,27315.37
2026-01-15,27012.40,175.11,27187.51
2026-01-14,26806.27,176.03,26982.31
2026-01-13,26653.91,176.01,26829.92
2026-01-12,26559.88,180.74,26740.62
2026-01-09,26099.35,176.66,26276.01
2026-01-08,26031.55,174.55,26206.09
2026-01-07,25872.11,175.32,26047.42
2026-01-06,25623.09,175.91,25799.00
2026-01-05,25434.22,172.26,25606.48
2025-12-31,25241.56,165.26,25406.82
2025-12-30,25385.25,167.59,25552.84
2025-12-29,25348.43,168.91,25517.34
