上榜日期,证券号码,证券简称,上榜涨幅,买入额（万）,卖出额（万）,净买入（万）,所属营业部,游资名称
2026-02-13,600589,大位科技,-,-,-,28693.57,日振幅值达15%的证券|日换手率达20%的证券,证券之星
2026-02-13,603618,杭电股份,-,-,-,2274.41,日振幅值达15%的证券|日跌幅偏离值达7%的证券,证券之星
2026-02-13,603103,横店影视,-,-,-,682.93,日振幅值达15%的证券,证券之星
2026-02-13,600410,华胜天成,-,-,-,50156.05,日换手率达20%的证券,证券之星
2026-02-13,603466,风语筑,-,-,-,4057.76,日换手率达20%的证券,证券之星
2026-02-13,603138,海量数据,-,-,-,-1823.75,日换手率达20%的证券,证券之星
2026-02-13,600481,双良节能,-,-,-,-16381.39,日跌幅偏离值达7%的证券,证券之星
2026-02-13,600545,卓郎智能,-,-,-,-6049.48,日跌幅偏离值达7%的证券,证券之星
2026-02-13,603729,龙韵股份,-,-,-,-1729.81,日跌幅偏离值达7%的证券,证券之星
2026-02-13,605287,德才股份,-,-,-,-2257.59,日跌幅偏离值达7%的证券,证券之星
2026-02-13,600984,建设机械,-,-,-,12083.23,日涨幅偏离值达7%的证券,证券之星
2026-02-13,601777,千里科技,-,-,-,15311.95,日涨幅偏离值达7%的证券,证券之星
2026-02-13,601890,亚星锚链,-,-,-,2220.89,日涨幅偏离值达7%的证券,证券之星
2026-02-13,600629,华建集团,-,-,-,2657.42,日涨幅偏离值达7%的证券,证券之星
2026-02-13,605033,美邦股份,-,-,-,3055.36,日涨幅偏离值达7%的证券,证券之星
2026-02-13,603533,掌阅科技,-,-,-,28148.37,连续三个交易日内!涨幅偏离值累计达20%的证券,证券之星
2026-02-13,605289,罗曼股份,-,-,-,17377.75,连续三个交易日内!涨幅偏离值累计达20%的证券,证券之星
2026-02-13,603268,*ST松发,-,-,-,31677.79,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,证券之星
2026-02-13,300182,捷成股份,-,-,-,-12579.38,有价格涨跌幅限制的日换手率达到30%的证券,证券之星
2026-02-13,300846,首都在线,-,-,-,-37833.76,有价格涨跌幅限制的日换手率达到30%的证券,证券之星
2026-02-13,300589,江龙船艇,-,-,-,4795.15,有价格涨跌幅限制的日换手率达到30%的证券,证券之星
2026-02-13,300812,易天股份,-,-,-,16168.2,有价格涨跌幅限制的日换手率达到30%的证券|有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,证券之星
2026-02-13,301231,荣信文化,-,-,-,-2295.93,有价格涨跌幅限制的日换手率达到30%的证券,证券之星
2026-02-13,000711,ST京蓝,-,-,-,-3334.89,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,证券之星
2026-02-13,002713,*ST东易,-,-,-,2273.56,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,证券之星
2026-02-13,002498,汉缆股份,-,-,-,37667.22,连续三个交易日内!涨幅偏离值累计达20%的证券,证券之星
2026-02-13,000833,粤桂股份,-,-,-,38650.21,连续三个交易日内!涨幅偏离值累计达20%的证券,证券之星
2026-02-13,002342,巨力索具,-,-,-,-13073.41,连续三个交易日内!跌幅偏离值累计达20%的证券,证券之星
2026-02-13,300251,光线传媒,-,-,-,34647.48,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,证券之星
2026-02-13,300449,汉邦高科,-,-,-,12742.16,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,证券之星
2026-02-13,300719,安达维尔,-,-,-,5995.14,有价格涨跌幅限制的日收盘价格涨幅达到15%的证券,证券之星
2026-02-13,300344,*ST立方,-,-,-,-38.95,连续3个交易日内收盘价格跌幅较基准指数偏离值累计达到-30%的证券,证券之星
2026-02-13,001330,博纳影业,-,-,-,-39118.33,日振幅值达15%的证券|日换手率达20%的证券,证券之星
2026-02-13,002519,银河电子,-,-,-,5696.35,日振幅值达15%的证券,证券之星
2026-02-13,002323,雅博股份,-,-,-,-13949.44,日振幅值达15%的证券,证券之星
2026-02-13,002467,二六三,-,-,-,11482.48,日换手率达20%的证券,证券之星
2026-02-13,000892,欢瑞世纪,-,-,-,-13132.47,日换手率达20%的证券|日跌幅偏离值达7%的证券,证券之星
2026-02-13,002455,百川股份,-,-,-,-3984.84,日换手率达20%的证券,证券之星
2026-02-13,002009,天奇股份,-,-,-,22855.85,日换手率达20%的证券|日涨幅偏离值达7%的证券,证券之星
2026-02-13,002498,汉缆股份,-,-,-,11986.96,日涨幅偏离值达7%的证券,证券之星
2026-02-13,000021,深科技,-,-,-,18336.86,日涨幅偏离值达7%的证券,证券之星
2026-02-13,000859,国风新材,-,-,-,22645.22,日涨幅偏离值达7%的证券,证券之星
2026-02-13,002703,浙江世宝,-,-,-,24309.35,日涨幅偏离值达7%的证券,证券之星
2026-02-13,000070,特发信息,-,-,-,5771.75,日跌幅偏离值达7%的证券,证券之星
