date,open,high,low,close,amount,volume
2015-09-02,20.02,22.0,19.5,20.5,174404592.0,8390980
2015-09-07,21.0,21.9,20.55,21.05,97080672.0,4556166
2015-09-08,21.05,21.6,19.18,21.55,94866352.0,4585000
2015-09-09,21.59,22.9,21.3,22.48,124141208.0,5536948
2015-09-10,22.08,23.41,21.52,22.58,94687528.0,4181173
2015-09-11,22.2,22.95,22.0,22.69,89455752.0,3964687
2015-09-14,22.8,24.5,21.0,23.12,222486160.0,9684890
2015-09-15,23.3,23.79,22.07,22.78,133613488.0,5821287
2015-09-16,22.88,24.99,22.01,24.6,184706256.0,7848328
2015-09-17,24.01,27.05,23.3,24.99,315018528.0,12354361
2015-09-18,26.9,27.38,25.3,26.44,382245856.0,14548018
2015-09-21,26.38,27.72,25.65,27.45,296756288.0,10915724
2015-09-22,27.88,27.88,26.6,26.68,268785280.0,9962611
2015-09-23,26.3,26.88,25.41,26.57,265621264.0,10166002
2015-09-24,9.0,9.18,8.5,8.94,313055808.0,35098774
2015-09-25,8.79,8.82,8.05,8.1,218259440.0,26007858
2015-09-28,7.99,8.66,7.6,8.45,214763824.0,26160806
2015-09-29,8.23,8.39,8.0,8.09,114119056.0,13985983
2015-09-30,8.32,8.53,8.19,8.3,133284416.0,15970104
2015-10-08,8.56,8.71,8.41,8.6,166327040.0,19328027
2015-10-09,8.65,8.75,8.46,8.66,144061744.0,16710819
2015-10-12,8.66,9.5,8.6,9.38,327859232.0,35683800
2015-10-13,9.38,10.32,9.18,10.32,451433120.0,45084270
2015-10-14,11.28,11.35,10.85,11.35,595997184.0,52989347
2015-10-27,12.17,12.49,11.66,12.49,988215808.0,79945411
2015-10-28,13.01,13.74,12.8,13.74,1496858880.0,111683697
2015-10-29,14.0,14.08,12.9,13.27,1500708352.0,113238657
2015-10-30,13.09,13.66,13.0,13.04,1071600384.0,80450370
2015-11-02,12.01,12.65,11.74,11.89,826960960.0,67926242
2015-11-03,11.96,12.1,11.59,11.72,467644736.0,39631203
2015-11-04,11.73,12.29,11.71,12.24,629229824.0,52421315
2015-11-05,12.2,13.1,11.87,12.43,924070144.0,74930662
2015-11-06,11.94,12.48,11.85,12.33,722681216.0,59215431
2015-11-09,12.13,12.34,11.81,12.2,605007168.0,49900020
2015-11-10,12.51,12.8,12.26,12.38,742395456.0,59399240
2015-11-11,12.2,12.35,12.05,12.3,477352000.0,39154257
